"Summary","Description","Work Type","Priority","Status","Component","Labels","Labels","Labels"
"Record type picklist values disappear after a metadata deployment","CONTEXT
Case record types restrict the reason picklist to values relevant for each service line.

ISSUE OR REQUEST
After a release, agents working the technical record type could select only two reason values instead of eleven.

EXPECTED BEHAVIOR
Each record type should offer its full configured value set after any deployment.

ACTUAL BEHAVIOR
Nine values are missing from the technical record type while remaining available on others.

INVESTIGATION AND FINDINGS
The deployment package included the picklist field but not the record type value assignments, so the target values were reset to the packaged subset. Comparing the record type metadata between sandbox and production confirmed the missing assignments and the deployment timestamp.

RESOLUTION
The value assignments were restored, the deployment package now includes record type metadata, and a post-deployment check compares available values per record type against a control list.

VALIDATION
All eleven values returned for the technical record type, other record types were unchanged, and the check flagged a deliberately incomplete test package.","Bug","High","Done","Record Type Configuration","tckt-0115","family-crm-record-management","solution-verified"
"Leads created through the API bypass the active assignment rules","CONTEXT
Assignment rules distribute incoming Leads to regional sales queues.

ISSUE OR REQUEST
Leads created by the web integration remain with the integration user and are never worked.

EXPECTED BEHAVIOR
Every new Lead should be assigned by the active assignment rule regardless of its creation channel.

ACTUAL BEHAVIOR
Leads created through the user interface are assigned correctly, while API-created Leads keep the creating user as owner.

INVESTIGATION AND FINDINGS
Assignment rules run for API inserts only when the request asks for them explicitly, and the integration did not set that option. A count of unassigned Leads matched the integration volume for the same period, and no rule entry criteria excluded them.

RESOLUTION
The integration now sets the assignment rule header on insert, and a scheduled report lists Leads still owned by the integration user after ten minutes.

VALIDATION
Two hundred test Leads routed to the expected queues, the backlog was reassigned by a one-time job, and the scheduled report has returned no rows since.","Bug","Medium","Done","Lead Assignment Rules","tckt-0116","family-crm-record-management","solution-verified"
"Gaps in contract numbering are treated as missing records during audit","CONTEXT
Contracts carry an auto-generated number used as the reference in customer correspondence.

ISSUE OR REQUEST
An internal audit questioned gaps in the number sequence and asked where the missing contracts were.

EXPECTED BEHAVIOR
The numbering scheme used for audit purposes should be gapless or documented as non-sequential.

ACTUAL BEHAVIOR
Numbers skip values after failed saves and deletions, which auditors read as evidence of removed records.

INVESTIGATION AND FINDINGS
Auto-number fields consume a value per attempt, so gaps are expected behavior rather than data loss. Reconciling three sampled gaps against record history showed two failed validations and one deleted draft, all accounted for.

RESOLUTION
The auto-number remains as a technical key, and a separate gapless audit reference is now assigned by automation only when a contract is activated. The numbering behavior was documented for the audit team.

VALIDATION
The audit reference ran without gaps across 1,200 activations including deliberate failed saves, and the audit team accepted the documented explanation.","Story","Low","Done","Contract Numbering","tckt-0117","family-crm-record-management","solution-verified"
"Activities stay on the previous account after a contact is reparented","CONTEXT
Contacts move between Accounts when a person changes employer within a customer group.

ISSUE OR REQUEST
After a move, the new Account shows no interaction history for that person.

EXPECTED BEHAVIOR
Activities that belong to the person should follow them to the new Account.

ACTUAL BEHAVIOR
Tasks and events keep the previous Account reference, so the history stays with the former employer.

INVESTIGATION AND FINDINGS
Activities store the Account reference captured at creation and do not follow later Contact changes. A review of 60 reparented Contacts found every historical activity still linked to the previous Account, including activities logged the same week as the move.

RESOLUTION
A flow now updates related activities to the new Account when a Contact is reparented, excluding activities explicitly linked to an opportunity or a case that stays with the original Account.

VALIDATION
Fifteen sandbox reparenting scenarios moved the expected activities and left linked opportunity activities in place, and the production backlog was corrected by a one-time job.","Bug","Medium","Done","Contact Reparenting","tckt-0118","family-crm-record-management","solution-verified"
"Validation rules block the enrichment job from completing its updates","CONTEXT
A nightly enrichment job updates firmographic fields on Accounts from a data provider.

ISSUE OR REQUEST
The job reports thousands of failures each night and leaves records partially enriched.

EXPECTED BEHAVIOR
Enrichment should complete for every record, while user-entered data keeps its validation requirements.

ACTUAL BEHAVIOR
Updates fail on Accounts missing a manually maintained field that a validation rule requires on any save.

INVESTIGATION AND FINDINGS
Three validation rules apply to every update regardless of context. Error samples showed the same three rule names across 94 percent of failures, all on legacy Accounts created before the rules existed.

RESOLUTION
A custom permission identifies the enrichment user, the three rules now exclude that permission, and a data quality report lists legacy Accounts still missing the manual field so they can be corrected by their owners.

VALIDATION
The nightly job completed with zero validation failures for two weeks, interactive saves still enforced the rules, and the data quality report listed 640 legacy Accounts for follow-up.","Bug","Medium","Done","Automation Bypass Control","tckt-0119","family-crm-record-management","solution-verified"
"Address standardization covers domestic records but leaves international formats inconsistent","CONTEXT
A standardization service normalizes billing addresses so that reporting and shipping use consistent formats.

ISSUE OR REQUEST
Regional reports still show the same city written in several ways, which splits totals.

EXPECTED BEHAVIOR
Addresses should be normalized to one consistent format regardless of country.

ACTUAL BEHAVIOR
Domestic addresses are normalized reliably, while international addresses are returned unchanged or partially parsed.

INVESTIGATION AND FINDINGS
The service subscription covers domestic reference data only, and international lookups return a low confidence result that the integration accepted as-is. Of 22,000 Accounts, 5,400 are international, and 3,100 of those had inconsistent city spellings.

RESOLUTION
Low confidence results are now rejected rather than written, and a curated alias table normalizes the 40 most frequent international cities. This is partial: the remaining international addresses stay unnormalized until the reference data subscription is extended.

VALIDATION
Domestic consistency stayed at 99 percent, the 40 curated cities merged into single report rows, and 1,900 international addresses remain unnormalized and flagged.","Task","Medium","Done","Address Standardization","tckt-0120","family-crm-record-management","solution-partial"
"Web form submissions create duplicate leads before matching completes","CONTEXT
Website enquiries create Leads that a matching service later links to existing customers.

ISSUE OR REQUEST
Visitors who submit the form twice within a short period create two Lead records.

EXPECTED BEHAVIOR
A repeat submission from the same person should update the existing Lead rather than create another.

ACTUAL BEHAVIOR
The matching service runs after insert, so both submissions are created before either is evaluated.

INVESTIGATION AND FINDINGS
The web endpoint inserts first and matches asynchronously to keep the form responsive. Submission logs showed 340 duplicate pairs in a month, most within four minutes of each other, typically after a visitor corrected a typo and resubmitted.

RESOLUTION
A scheduled job merges duplicate pairs every 15 minutes and notifies the owner. This is a workaround: duplicates still exist between runs and can both be picked up by sales, and the underlying insert-then-match order is unchanged. Synchronous matching at the endpoint is the preferred solution.

VALIDATION
The job merged 340 historical pairs and now clears new duplicates within one cycle, though two cases of parallel outreach were reported during the window.","Bug","High","Done","Web Lead Deduplication","tckt-0121","family-crm-record-management","solution-workaround"
"Long customer notes are truncated when copied into the summary field","CONTEXT
An automation copies the latest customer note into a summary field used in list views and reports.

ISSUE OR REQUEST
Agents found summaries cut off mid-sentence, and some appeared to change meaning.

EXPECTED BEHAVIOR
The summary should present readable content and make clear when the full note is longer.

ACTUAL BEHAVIOR
The copy is truncated at the target field length without any indication that content follows.

INVESTIGATION AND FINDINGS
The source note allows 32,000 characters while the summary field allows 255. The automation assigned the value directly, so the platform truncated it. A sample showed 28 percent of notes exceeded the limit, with an average length of 640 characters.

RESOLUTION
The automation now truncates at a word boundary and appends a marker showing the note continues. This is a workaround: the summary still cannot hold the full note, and reporting on note content remains incomplete. Reporting directly against the note object is the preferred approach.

VALIDATION
Sampled summaries ended at word boundaries with the marker present, and agents confirmed the meaning was no longer distorted in 30 reviewed records.","Bug","Low","Done","Field Length Handling","tckt-0122","family-crm-record-management","solution-workaround"
"A small number of cases lose their contact relationship overnight","CONTEXT
Cases carry a Contact reference used for correspondence and entitlement checks.

ISSUE OR REQUEST
Agents find Cases each morning where the Contact field is empty although correspondence exists on the record.

EXPECTED BEHAVIOR
The Contact reference should persist for the life of the Case unless an agent changes it.

ACTUAL BEHAVIOR
Between five and fifteen Cases per night lose the reference, and the field history shows the change without a recognizable actor.

INVESTIGATION AND FINDINGS
Field history attributes the change to the integration user, but the nightly integration payloads reviewed for three dates contain no Contact field. The affected Cases share no record type, queue, or account. Disabling one suspected job for two nights did not stop the occurrences.

RESOLUTION
No verified cause or fix exists. No automation has been permanently disabled, since the responsible process has not been identified.

VALIDATION
The nightly losses continue. The next step is enabling fine-grained logging for the integration user during the overnight window and adding a trigger-level capture that records the call context whenever the field is cleared.","Bug","High","In Progress","Relationship Integrity","tckt-0123","family-crm-record-management","solution-unresolved"
"Active records are found in the recycle bin without a matching deletion entry","CONTEXT
Deletion of customer records is restricted to administrators and should always appear in the audit trail.

ISSUE OR REQUEST
Forty active Accounts were found in the recycle bin with no entry in the deletion review report.

EXPECTED BEHAVIOR
Every deletion should be traceable to an authorized user or process.

ACTUAL BEHAVIOR
The records were deleted within a two-hour window, and no available log identifies the actor.

INVESTIGATION AND FINDINGS
The records were restored and the delete permission was suspended for all non-administrator profiles as immediate containment, and the security team was informed. The records share an owner who was on leave and whose session history shows no activity in that window. A data loading tool used by two teams is a candidate, but its logs had already passed their seven-day retention.

RESOLUTION
No verified cause exists. Containment is in place, but the deletion source is unidentified and no conclusion has been drawn about intent.

VALIDATION
No further unexplained deletions have occurred since the permission change. The next step is extending tool-side log retention, enabling delete event monitoring, and replaying a controlled deletion to identify the actor.","Bug","Highest","In Progress","Deletion Audit","tckt-0124","family-crm-record-management","solution-unresolved"
"Opportunity amount stops matching its line items after a product swap","CONTEXT
The opportunity amount is normally derived from the sum of its product lines and drives pipeline reporting.

ISSUE OR REQUEST
Deals where a product was replaced show an amount that no longer matches the line total.

EXPECTED BEHAVIOR
The amount should always equal the sum of the current lines unless it is deliberately overridden.

ACTUAL BEHAVIOR
Replacing a product leaves the amount at its earlier value, and the difference persists into the forecast.

INVESTIGATION AND FINDINGS
An earlier automation wrote the amount directly during a bulk correction, which converted the field to a manually maintained value on those records. Comparing 200 mismatched deals showed all had been touched by that correction, while untouched deals recalculated normally.

RESOLUTION
The affected records were reset so the amount is derived from lines again, the bulk correction script was retired, and a daily report lists deals whose amount deviates from the line total.

VALIDATION
Product swaps on 40 test deals recalculated correctly, the 200 historical records matched their line totals after the reset, and the daily report has returned no new deviations.","Bug","High","Done","Opportunity Amount Integrity","tckt-0125","family-revenue-operations","solution-verified"
"Quarterly bookings exclude deals closed in the last week of the fiscal period","CONTEXT
The company uses a custom fiscal calendar in which quarters end on a Saturday rather than a month boundary.

ISSUE OR REQUEST
Bookings reported for the quarter are lower than the figures sales leadership tracks manually.

EXPECTED BEHAVIOR
Bookings should include every deal closed within the fiscal quarter as defined by the custom calendar.

ACTUAL BEHAVIOR
Deals closed between the fiscal quarter end and the calendar month end are pushed into the next period.

INVESTIGATION AND FINDINGS
The reporting extract used calendar month boundaries while the organization runs a custom fiscal calendar. Reconciling two quarters showed 63 deals landing in the wrong period, all closed in the overlap days at each quarter boundary.

RESOLUTION
The extract now reads fiscal period boundaries from the calendar definition instead of deriving them from calendar months, and the reporting layer groups by fiscal period.

VALIDATION
Two recalculated quarters matched leadership figures exactly, the 63 misplaced deals moved to their correct period, and a boundary test with a deal closed on the final Saturday landed correctly.","Task","High","Done","Fiscal Calendar Alignment","tckt-0126","family-revenue-operations","solution-verified"
"Annual recurring revenue is inflated by placeholder subscription lines","CONTEXT
Recurring revenue is calculated from active subscription lines on renewal contracts.

ISSUE OR REQUEST
Reported recurring revenue exceeds the amount that finance recognizes by a growing margin.

EXPECTED BEHAVIOR
The calculation should include only lines that represent billable recurring commitments.

ACTUAL BEHAVIOR
Placeholder lines created with zero quantity for future options are included at their list price.

INVESTIGATION AND FINDINGS
The calculation multiplied unit price by term without checking quantity, so zero-quantity lines contributed their full list value. Sales teams create these placeholders during negotiations, and 1,150 active contracts carried at least one.

RESOLUTION
The calculation now requires a positive quantity and an active status, and placeholder lines are marked with a dedicated line type that reporting excludes.

VALIDATION
Recalculated recurring revenue came within 0.3 percent of the finance figure across three months, and a test contract with placeholders contributed only its billable lines.","Task","High","Done","Recurring Revenue Model","tckt-0127","family-revenue-operations","solution-verified"
"Terminated contracts still generate automatic renewal opportunities","CONTEXT
A scheduled process creates renewal opportunities for contracts approaching their end date.

ISSUE OR REQUEST
Account managers received renewal tasks for customers who had already terminated their agreements.

EXPECTED BEHAVIOR
Renewals should be created only for contracts that are active and not marked for termination.

ACTUAL BEHAVIOR
Contracts with a termination notice keep their original end date, so they still match the date-based selection.

INVESTIGATION AND FINDINGS
The selection filtered on end date and an active flag that is cleared only when the term actually expires, not when notice is received. Fourteen renewal opportunities were traced to contracts with a recorded termination notice, two of which reached the customer.

RESOLUTION
The selection now excludes contracts with a termination notice or a non-renewal flag, and the two customer-facing errors were withdrawn with an apology by the account team.

VALIDATION
A rerun over the previous quarter produced no renewals for terminated contracts, valid renewals were unchanged, and a test termination removed the contract from the next selection.","Bug","Highest","Done","Contract Renewal Eligibility","tckt-0128","family-revenue-operations","solution-verified"
"Commission tiers are applied to gross revenue instead of net revenue","CONTEXT
Commission is calculated on net revenue after discounts and returns, using tiered rates per representative.

ISSUE OR REQUEST
Several representatives were paid at a higher tier than their actual performance justified.

EXPECTED BEHAVIOR
Tier thresholds should be evaluated against net revenue as defined in the compensation plan.

ACTUAL BEHAVIOR
The calculation compares gross revenue with the thresholds, then applies the resulting rate to net revenue.

INVESTIGATION AND FINDINGS
The tier lookup and the payout base used different fields, which only becomes visible for representatives near a threshold. Recalculating one quarter showed 9 of 74 representatives crossing a tier boundary they had not reached on net revenue.

RESOLUTION
The tier lookup now uses net revenue, the calculation logs both figures for transparency, and the nine affected payouts were corrected with finance through the standard adjustment process.

VALIDATION
A full quarter recalculation matched the compensation plan for all 74 representatives, and boundary test cases produced the expected tier on both sides of each threshold.","Bug","High","Done","Commission Calculation","tckt-0129","family-revenue-operations","solution-verified"
"Usage-based billing data is complete for only part of the product portfolio","CONTEXT
Usage-based products are billed from consumption data collected by the platform team and loaded into Salesforce.

ISSUE OR REQUEST
Revenue operations cannot produce a complete usage forecast because some products have no consumption data.

EXPECTED BEHAVIOR
Every usage-based product should report consumption on the same schedule and granularity.

ACTUAL BEHAVIOR
Two products report daily consumption, while three others provide only a monthly total supplied manually.

INVESTIGATION AND FINDINGS
Only the two newer products emit metering events. The remaining three run on an older platform whose export is a manual spreadsheet, and its totals are not broken down by customer contract.

RESOLUTION
Daily consumption for the two instrumented products now loads automatically with contract-level attribution, and forecasting uses it directly. This is partial: the three legacy products remain manual and monthly, so the forecast for them is an estimate until the platform team adds metering.

VALIDATION
Automated products reconciled with the billing system for two months within 0.5 percent, while legacy products were reconciled only at the monthly total level.","Story","Medium","In Progress","Usage Billing Feed","tckt-0130","family-revenue-operations","solution-partial"
"Revenue schedules are not adjusted when a subscription is upgraded mid-term","CONTEXT
Multi-year subscriptions generate monthly revenue schedule rows used for recognition reporting.

ISSUE OR REQUEST
Upgrades taken in the middle of a term are not reflected in the remaining schedule rows.

EXPECTED BEHAVIOR
Remaining periods should be regenerated at the new value from the upgrade effective date.

ACTUAL BEHAVIOR
Schedule rows keep the original amount, so recognized revenue understates the contract from the upgrade date onward.

INVESTIGATION AND FINDINGS
Schedules are generated once at contract activation and never revisited. A review found 87 upgrades in the last two quarters, all with unchanged schedules, and the difference reached 18 percent on the largest contract.

RESOLUTION
An upgrade now regenerates future schedule rows from the effective date while leaving closed periods untouched. This is partial: downgrades and mid-term cancellations still require a manual correction, since their proration rules are not yet agreed with finance.

VALIDATION
Twenty test upgrades regenerated the correct rows and left closed periods intact, and the 87 historical contracts were corrected in a controlled batch.","Story","Medium","Done","Revenue Scheduling","tckt-0131","family-revenue-operations","solution-partial"
"Credit memos recorded as negative opportunities distort pipeline reporting","CONTEXT
Customer credits are recorded so that net revenue reporting reflects them alongside sales.

ISSUE OR REQUEST
Pipeline and win rate metrics are skewed because credits appear as opportunities with negative amounts.

EXPECTED BEHAVIOR
Credits should reduce recognized revenue without appearing in pipeline or conversion metrics.

ACTUAL BEHAVIOR
Negative opportunities are counted as deals, which lowers average deal size and inflates the closed count.

INVESTIGATION AND FINDINGS
No dedicated object existed for credits, so the team reused the opportunity model. A review found 430 negative opportunities in a year, all created by two finance users and all closed on the day they were created.

RESOLUTION
Credits are now marked with a dedicated record type that every pipeline report excludes, while revenue reports still include them. This is a workaround: credits remain opportunities, so any new report must remember the exclusion. A separate credit object linked to the original deal is the preferred design.

VALIDATION
Pipeline metrics recalculated without credits matched the finance view of bookings, and average deal size rose to the expected range across four quarters.","Task","Medium","Done","Credit Handling","tckt-0132","family-revenue-operations","solution-workaround"
"Consolidated invoices cannot be attributed back to individual opportunities","CONTEXT
Invoices from the billing platform are matched to opportunities so that closed revenue can be verified.

ISSUE OR REQUEST
A group of invoices remains unmatched every month and blocks the revenue reconciliation report.

EXPECTED BEHAVIOR
Each invoice should be attributable to one or more opportunities with a documented allocation.

ACTUAL BEHAVIOR
Consolidated invoices covering several agreements arrive as a single line with no reference to the underlying deals.

INVESTIGATION AND FINDINGS
The billing platform consolidates at the customer level for around 12 percent of accounts, and the payload carries no deal identifier. Matching by amount was tested and failed because consolidated totals include proration and credits. The billing team confirmed that deal-level references are not stored at invoicing time.

RESOLUTION
No verified approach exists. Amount-based matching was rejected during testing, and no allocation rule has been agreed with finance.

VALIDATION
Roughly 300 invoices per month remain unmatched. The next step is a joint session with the billing team to determine whether a deal reference can be carried through consolidation, and to define an allocation rule if it cannot.","Bug","High","To Do","Invoice Attribution","tckt-0133","family-revenue-operations","solution-unresolved"
"Stage duration metrics show negative values for some opportunities","CONTEXT
A sales velocity report measures how long opportunities spend in each stage using stage history records.

ISSUE OR REQUEST
A small number of opportunities report negative durations, which breaks the average for their segment.

EXPECTED BEHAVIOR
Stage duration should always be zero or positive and should sum to the total age of the opportunity.

ACTUAL BEHAVIOR
Some opportunities have history rows whose timestamps are out of sequence, producing negative intervals.

INVESTIGATION AND FINDINGS
The affected opportunities were all updated by both a user and an automated process within the same second, and their history rows carry identical timestamps in a non-chronological order. Ordering by the record key instead of the timestamp produced plausible durations in a test, but the key order could not be shown to reflect the true sequence. Roughly 200 of 45,000 opportunities are affected.

RESOLUTION
No verified fix exists. The alternative ordering was not adopted, since its correctness is unproven.

VALIDATION
Negative durations still occur on new records at a similar rate. The next step is instrumenting the automation to write an explicit sequence stamp on stage change so ordering no longer depends on history timestamps.","Bug","Medium","To Do","Stage Duration Metrics","tckt-0134","family-revenue-operations","solution-unresolved"
"External application inserts fail after a field became required","CONTEXT
A partner application creates service requests through the REST API using a documented field set.

ISSUE OR REQUEST
All inserts from the partner application began failing shortly after an internal release.

EXPECTED BEHAVIOR
A schema change should either remain compatible with published integrations or be coordinated with them.

ACTUAL BEHAVIOR
Every insert is rejected because a newly required field is absent from the partner payload.

INVESTIGATION AND FINDINGS
A release added a required custom field to support internal reporting, with no default value and no exclusion for API contexts. Error responses named the field consistently, and the failure start time matched the deployment.

RESOLUTION
The field now carries a default value and is required through a validation rule scoped to interactive users only, and the release checklist includes a review of published integration contracts.

VALIDATION
Partner inserts resumed immediately with the queued backlog accepted, interactive users are still required to complete the field, and the checklist caught a similar change in the following release.","Bug","High","Done","API Schema Governance","tckt-0135","family-api-platform","solution-verified"
"Reporting client processes only the first page of query results","CONTEXT
An external reporting client queries Opportunities through the REST API and loads the results into a data store.

ISSUE OR REQUEST
The reporting store consistently holds fewer records than Salesforce for the same filter.

EXPECTED BEHAVIOR
The client should retrieve every record matching the query.

ACTUAL BEHAVIOR
Exactly 2,000 records arrive per run regardless of how many records match.

INVESTIGATION AND FINDINGS
The API returns results in pages with a continuation reference when more remain, and the client read the first response only. The response body showed the completeness flag set to false and a continuation reference that was never followed.

RESOLUTION
The client now follows the continuation reference until the response is marked complete, and it compares the returned total with the record count before declaring a run successful.

VALIDATION
A run over 21,400 matching records retrieved all of them, the count check failed deliberately when a page was skipped in a test, and daily loads have matched Salesforce totals since.","Bug","High","Done","Query Pagination","tckt-0136","family-api-platform","solution-verified"
"Nightly integration window exceeds the concurrent long-running request limit","CONTEXT
Several integrations run concurrently at night, each issuing large queries against Salesforce.

ISSUE OR REQUEST
Some integrations receive a concurrency error and abort mid-run several nights a week.

EXPECTED BEHAVIOR
Scheduled integrations should complete without competing for the same platform allocation.

ACTUAL BEHAVIOR
When more than ten long-running requests overlap, additional requests are rejected until earlier ones finish.

INVESTIGATION AND FINDINGS
Four integrations were scheduled at the same start time, and each opened multiple parallel connections. Request logs showed peaks of 14 concurrent long-running calls, and every failure occurred during those peaks rather than on any specific query.

RESOLUTION
Queries were narrowed with selective filters so most complete below the long-running threshold, connection counts were capped per integration, and start times were staggered across the window.

VALIDATION
Peak concurrency dropped to six over two weeks with no concurrency errors, and total window duration decreased by 25 minutes.","Bug","High","Done","Request Concurrency","tckt-0137","family-api-platform","solution-verified"
"Bulk upsert fails when the same external key appears twice in one job","CONTEXT
A daily bulk job upserts customer master records using an external identifier as the match key.

ISSUE OR REQUEST
Entire batches fail with duplicate key errors even though the target records are unique in Salesforce.

EXPECTED BEHAVIOR
The job should upsert each distinct external key once per run.

ACTUAL BEHAVIOR
Batches containing the same external key twice are rejected, because a single job cannot upsert the same key more than once.

INVESTIGATION AND FINDINGS
The source extract emitted one row per source-system address, so customers with two addresses produced two rows sharing the same key. Failed batches always contained at least one such pair, and about 4 percent of records were affected.

RESOLUTION
The extract now consolidates addresses into a single row per external key, and a pre-load check rejects a file containing duplicate keys before the job starts.

VALIDATION
Three full loads completed with no duplicate key errors, a deliberately duplicated file was rejected by the pre-load check, and address data remained complete after consolidation.","Bug","Medium","Done","Bulk Upsert Integrity","tckt-0138","family-api-platform","solution-verified"
"Outbound callouts lose a required header after a named credential change","CONTEXT
Apex callouts to a logistics provider authenticate through a named credential and send a required tenant routing header.

ISSUE OR REQUEST
All callouts began returning an authorization error after the credential was migrated to the newer configuration format.

EXPECTED BEHAVIOR
Callouts should carry both the authentication header and the routing header after the migration.

ACTUAL BEHAVIOR
Requests are authenticated but rejected by the provider, whose response indicates a missing routing header.

INVESTIGATION AND FINDINGS
Custom headers defined on the previous credential were not carried into the new external credential structure. A request trace confirmed the header was absent while the authorization header was present. No secret value was exposed during the trace, and the provider's error message named the missing header explicitly.

RESOLUTION
The routing header was redefined on the new external credential, and a smoke test that asserts every required header now runs after any credential change.

VALIDATION
Callouts succeeded immediately after the change, the smoke test failed as expected when a header was removed in a sandbox, and the provider confirmed normal traffic.","Bug","High","Done","Named Credential Configuration","tckt-0139","family-api-platform","solution-verified"
"Outbound rate limiting protects the REST endpoint but not the legacy interface","CONTEXT
Salesforce sends order updates to a supplier through a modern REST endpoint and an older interface used for corrections.

ISSUE OR REQUEST
The supplier reported that bursts of traffic overwhelmed their systems during a large campaign.

EXPECTED BEHAVIOR
Outbound traffic should stay within the agreed request rate across all interfaces.

ACTUAL BEHAVIOR
REST traffic respects the agreed rate, while corrections sent over the legacy interface arrive in unthrottled bursts.

INVESTIGATION AND FINDINGS
Rate limiting was implemented in the shared REST client, which the legacy path does not use. Traffic captures during the campaign showed the REST path holding steady at the agreed rate while the legacy path peaked at four times that level.

RESOLUTION
The REST limiter was extended with a shared counter so both paths draw from one budget for reporting. This is partial: the legacy path can read the counter but cannot yet queue requests, so it slows only when the shared budget is already exhausted.

VALIDATION
Combined traffic stayed within the agreed rate on two of three campaign days, with one burst recorded when corrections were submitted before REST traffic began.","Task","Medium","In Progress","Callout Rate Limiting","tckt-0140","family-api-platform","solution-partial"
"Provider cannot deliver callbacks, so status updates depend on polling","CONTEXT
A payment provider publishes transaction status changes that must be reflected on Salesforce records.

ISSUE OR REQUEST
Status changes appear in Salesforce long after the provider records them.

EXPECTED BEHAVIOR
A status change should be reflected within a few minutes of occurring at the provider.

ACTUAL BEHAVIOR
Provider callbacks cannot reach the middleware, because inbound connections from that network are blocked by policy.

INVESTIGATION AND FINDINGS
The security policy prohibits inbound connections from the provider network, and a review confirmed no approved path exists. The provider offers a change feed that can be polled, though it returns changes in five-minute buckets.

RESOLUTION
Middleware polls the change feed every five minutes and applies updates in order. This is a workaround: updates lag by up to five minutes, polling runs continuously whether or not changes exist, and a missed poll delays a whole bucket. A reviewed inbound path remains the preferred solution.

VALIDATION
Status changes appeared within six minutes across a week of monitoring, and a deliberate poll failure recovered the missed bucket on the following run.","Story","Medium","Done","Status Update Retrieval","tckt-0141","family-api-platform","solution-workaround"
"Partner client cannot read structured address fields from the API","CONTEXT
A partner client reads Account records through the API and needs billing address details.

ISSUE OR REQUEST
The partner reports that address information is missing from the responses they receive.

EXPECTED BEHAVIOR
The partner should receive street, city, postal code, and country for each Account.

ACTUAL BEHAVIOR
Their parser ignores the structured address object and reads only top-level fields, so the address arrives empty.

INVESTIGATION AND FINDINGS
Salesforce returns the address as a compound structure with nested components. The partner client was built against a flat schema and cannot be changed until their next release, which is scheduled for two quarters ahead.

RESOLUTION
Formula fields expose the four address components as top-level values, and the partner reads those. This is a workaround: it duplicates address data into additional fields that must be maintained, and it does not cover other compound fields. Updating the partner client remains the preferred solution.

VALIDATION
The partner retrieved complete addresses for 500 sampled Accounts, and values matched the structured fields exactly.","Task","Low","In Progress","Address Field Compatibility","tckt-0142","family-api-platform","solution-workaround"
"A small share of callouts returns a success status with an empty body","CONTEXT
Apex callouts retrieve credit assessments from an external scoring service during opportunity qualification.

ISSUE OR REQUEST
About one call in 500 returns a success status with no payload, leaving the record without a score.

EXPECTED BEHAVIOR
A success response should always contain a scoring payload, or an error status should be returned.

ACTUAL BEHAVIOR
The response carries a success status, a content length of zero, and no error information.

INVESTIGATION AND FINDINGS
The provider confirmed that their application logged a scoring result for the sampled request identifiers, which suggests the payload is lost between their application and the caller. Retrying the same request immediately succeeds. Requests pass through a corporate egress proxy whose logs are retained for 48 hours and had already rolled over for the first samples.

RESOLUTION
No verified cause or fix exists. No retry logic has been added, since silently retrying could hide a genuine provider failure.

VALIDATION
Empty responses continue at a similar rate. The next step is capturing request and response metadata with correlation identifiers on both sides and extending proxy log retention so a failing exchange can be examined.","Bug","Medium","To Do","Callout Response Integrity","tckt-0143","family-api-platform","solution-unresolved"
"One of three event subscribers stops receiving a portion of published events","CONTEXT
Order events published from Apex are consumed by three independent subscribers for billing, analytics, and notifications.

ISSUE OR REQUEST
The analytics subscriber is missing roughly one percent of events that the other two receive.

EXPECTED BEHAVIOR
Every subscriber should receive the complete event stream published to the channel.

ACTUAL BEHAVIOR
Billing and notification records reconcile with published events, while analytics shows gaps scattered across the day.

INVESTIGATION AND FINDINGS
Missing events carry no common order type, size, or publishing user. The analytics client reports no errors and its position advances continuously, which means the gaps are not the result of a detected disconnection. A replay of one affected window delivered the missing events successfully, so they were retained and available at the time.

RESOLUTION
No verified cause or fix exists. Replay is used only for investigation and has not been made a standing process.

VALIDATION
Gaps continue at roughly one percent. The next step is logging every received event identifier on the analytics side and comparing it with the published set for a full day, to establish whether events are lost at delivery or discarded after receipt.","Bug","High","In Progress","Event Delivery Diagnostics","tckt-0144","family-api-platform","solution-unresolved"
"Generated queries reference fields the requesting user cannot read","CONTEXT
An assistant builds SOQL from business questions and runs it in the context of the requesting user.

ISSUE OR REQUEST
Support team leads receive an access error instead of an answer for several routine questions.

EXPECTED BEHAVIOR
Generated queries should use only fields the requesting user is permitted to read.

ACTUAL BEHAVIOR
The query includes a restricted margin field, and the platform rejects the whole statement.

INVESTIGATION AND FINDINGS
The schema description given to the model was exported once from an administrator context and contained every field. Traces showed the model selecting the restricted field when a question mentioned profitability, which was the closest match in the schema text.

RESOLUTION
The schema is now assembled per session from the fields the requesting user can read, and any generated query naming an unavailable field is rejected before execution with an explanation.

VALIDATION
Fifty questions run as three different profiles produced no access errors, restricted users received an explanation instead of a failure, and administrators still reached the full field set.","Bug","High","Done","Schema Access Filtering","tckt-0145","family-ai-to-soql","solution-verified"
